ascension keystone secundus  28447;
adamant crossbow  9183;
armadyl crossbow  25037;
ascension crossbow  28437;
black 2h crossbow  33500;
black crossbow  13081;
bolas  21365;
bronze 2h crossbow  25919;
bronze crossbow  9174;
cannon barrels  10;
cannon base  6;
cannon furnace  12;
cannon stand  8;
chargebow  19830;
comp ogre bow  4827;
crossbow  837;
crystal bow  32228;
crystal chakram  32231;
dark bow  11235;
demon slayer crossbow  27168;
dorgeshuun c'bow  8880;
dragon 2h crossbow  25932;
dragon crossbow  25917;
dwarf cannon set  11967;
elder shieldbow  29611;
elder shortbow  29614;
guthix bow  19146;
hand cannon  15241;
hunters' crossbow  10156;
iron 2h crossbow  25921;
iron crossbow  9177;
karil's crossbow  4734;
karil's crossbow (broken)  4938;
karil's pistol crossbow  25918;
karil's pistol crossbow (broken)  36802;
magic composite bow  10284;
magic shieldbow  859;
magic shortbow  861;
maple shieldbow  851;
maple shortbow  853;
mith crossbow  9181;
mithril 2h crossbow  25925;
noxious longbow  31733;
off-hand rune crossbow  25891;
off-hand steel crossbow  25885;
oak shieldbow  845;
oak shortbow  843;
off-hand adamant crossbow  25889;
off-hand armadyl crossbow  34855;
off-hand ascension crossbow  28441;
off-hand black crossbow  33498;
off-hand bronze crossbow  25881;
off-hand crystal chakram  32234;
off-hand demon slayer crossbow  27170;
off-hand dragon crossbow  25894;
off-hand iron crossbow  25883;
off-hand mithril crossbow  25887;
royal bolt stabiliser  24340;
royal frame  24342;
royal sight  24344;
royal torsion spring  24346;
rune 2h crossbow  25929;
rune crossbow  9185;
sagaie  21364;
saradomin bow  19143;
seercull  6724;
shieldbow  839;
shortbow  841;
steel 2h crossbow  25923;
steel crossbow  9179;
willow composite bow  10280;
willow shieldbow  847;
willow shortbow  849;
yew composite bow  10282;
yew shieldbow  855;
yew shortbow  857;
zamorak bow  19149;
zaryte bow  20171;
air talisman  1438;
air tiara  5527;
blood talisman  1450;
blood tiara  5549;
body talisman  1446;
body tiara  5533;
chaos talisman  1452;
chaos tiara  5543;
cosmic talisman  1454;
cosmic tiara  5539;
death talisman  1456;
death tiara  5547;
earth talisman  1440;
earth tiara  5535;
elemental talisman  5516;
fire talisman  1442;
fire tiara  5537;
law talisman  1458;
law tiara  5545;
mind talisman  1448;
mind tiara  5529;
nature talisman  1462;
nature tiara  5541;
pure essence  7936;
rune essence  1436;
stone of binding  28628;
tectonic energy  28627;
tiara  5525;
water talisman  1444;
water tiara  5531;
air rune  556;
ardougne teleport  8011;
astral rune  9075;
bandit camp teleport  19476;
blood rune  565;
body rune  559;
bones to bananas  8014;
bones to peaches  8015;
camelot teleport  8010;
chaos rune  562;
cosmic rune  564;
death rune  560;
dust rune  4696;
earth rune  557;
enchant diamond  8019;
enchant dragonstn.  8020;
enchant emerald  8017;
enchant onyx  8021;
enchant ruby  8018;
enchant sapphire  8016;
falador teleport  8009;
fire rune  554;
god wars teleport  31665;
grand seed pod  9469;
juju teleport spiritbag  19967;
lava rune  4699;
law rune  563;
lumber yard teleport  19480;
lumbridge teleport  8008;
mind rune  558;
miscellania teleport  19477;
mist rune  4695;
mud rune  4698;
nature rune  561;
pharaoh's sceptre  9050;
pharaoh's sceptre (3)  9044;
phoenix lair teleport  19478;
pollnivneach teleport  19475;
smoke rune  4697;
soul rune  566;
steam rune  4694;
tai bwo wannai teleport  19479;
teleport to house  8013;
varrock teleport  8007;
watchtower teleport  8012;
water rune  555;
acorn  5312;
apple tree seed  5283;
asgarnian seed  5308;
avantoe seed  5298;
banana tree seed  5284;
barberry seed  28266;
barley seed  5305;
belladonna seed  5281;
bittercap mushroom spore  5282;
blue blossom seed  19927;
butterfly flower seed  28265;
cabbage seed  5324;
cactus seed  5280;
cadantine seed  5301;
cadavaberry seed  5102;
calquat tree seed  5290;
curry tree seed  5286;
dwarf weed seed  5303;
dwellberry seed  5103;
elder seed  31437;
evil turnip seed  12148;
fellstalk seed  21621;
fly trap seed  28260;
gout tuber  6311;
grapevine seed  28264;
green blossom seed  19932;
guam seed  5291;
hammerstone seed  5307;
harmony moss seed  32665;
harralander seed  5294;
irit seed  5297;
jangerberry seed  5104;
jute seed  5306;
krandorian seed  5310;
kwuarm seed  5299;
lantadyme seed  5302;
limpwurt seed  5100;
magic seed  5316;
maple seed  5314;
marigold seed  5096;
marrentill seed  5292;
morchella mushroom spore  21620;
nasturtium seed  5098;
onion seed  5319;
orange tree seed  5285;
palm tree seed  5289;
papaya tree seed  5288;
pineapple seed  5287;
poison ivy seed  5106;
potato cactus seed  28258;
potato seed  5318;
prickly pear seed  28259;
ranarr seed  5295;
red blossom seed  19922;
redberry seed  5101;
reed seed  28263;
rosemary seed  5097;
snapdragon seed  5300;
snape grass seed  28262;
spirit weed seed  12176;
strawberry seed  5323;
sunchoke seed  28261;
sweetcorn seed  5320;
tarromin seed  5293;
toadflax seed  5296;
tomato seed  5322;
torstol seed  5304;
watermelon seed  5321;
wergali seed  14870;
whiteberry seed  5105;
wildblood seed  5311;
willow seed  5313;
wishing well bush seed  28267;
woad seed  5099;
yanillian seed  5309;
yew seed  5315;
abyssal drain scroll  12454;
abyssal stealth scroll  12427;
acorn missile scroll  12457;
addy bull rush scroll  12465;
ambush scroll  12836;
annihilate scroll  31401;
arctic blast scroll  12451;
blood drain scroll  12444;
boil scroll  12833;
bronze bull rush scroll  12461;
call to arms scroll  12443;
cheese feast scroll  12430;
crushing claw scroll  12449;
deadly claw scroll  12831;
dissolve scroll  12453;
doomsphere scroll  12455;
dreadfowl strike scroll  12445;
dust cloud scroll  12468;
ebon thunder scroll  12837;
egg spawn scroll  12428;
electric lash scroll  12460;
enlightenment scroll  32832;
essence shipment scroll  12827;
evil flames scroll  12448;
explode scroll  12834;
famine scroll  12830;
fetch casket scroll  19621;
fireball assault scroll  12839;
fish rain scroll  12424;
fruitfall scroll  12423;
generate compost scroll  12440;
goad scroll  12835;
healing aura scroll  12434;
herbcall scroll  12422;
howl scroll  12425;
immense heat scroll  12829;
inferno scroll  12841;
insane ferocity scroll  12433;
iron bull rush scroll  12462;
iron within scroll  12828;
magic focus scroll  12437;
mammoth feast scroll  36063;
mantis strike scroll  12450;
mith bull rush scroll  12464;
multichop scroll  12429;
oph. incubation scroll  12436;
pester scroll  12838;
petrifying gaze scroll  12458;
poisonous blast scroll  12467;
regrowth scroll  12442;
rending scroll  12840;
ring of fire scroll  34146;
rise from the ashes scroll  14622;
rune bull rush scroll  12466;
sandstorm scroll  12446;
siphon self scroll  31332;
slime spray scroll  12459;
spike shot scroll  12456;
steel bull rush scroll  12463;
steel of legends scroll  12825;
stony shell scroll  12533;
swallow whole scroll  12438;
swamp plague scroll  12832;
testudo scroll  12439;
thieving fingers scroll  12426;
tireless run scroll  12441;
titan's con. scroll  12824;
toad bark scroll  12452;
unburden scroll  12431;
vampyre touch scroll  12447;
venom shot scroll  12432;
volcanic str. scroll  12826;
winter storage scroll  12435;
accursed urn (nr)  20416;
adamant hatchet  1357;
adamant pickaxe  1271;
airtight pot  4436;
amulet mould  1595;
archery ticket  1464;
astronomy book  600;
bowl of water  1921;
bracelet mould  11065;
brass key  983;
bronze hatchet  1351;
bronze pickaxe  1265;
brown apron  1757;
bucket  1925;
bucket of water  1929;
bullseye lantern  4546;
bullseye lantern  4548;
bag of salt  4161;
barb-tail harpoon  10129;
barrel  3216;
barrows dye  33294;
basket  5376;
beer glass  1919;
big fishing net  305;
black hatchet  1361;
blood dye  36274;
blue firelighter  7331;
bolt mould  9434;
bowl  1923;
cracked cooking urn (nr)  20350;
cracked fishing urn (nr)  20320;
cracked mining urn (nr)  20380;
cracked smelting urn (nr)  20272;
cracked woodcutting urn (nr)  20296;
crayfish cage  13431;
crystal key  989;
cake tin  1887;
calquat fruit  5980;
calquat keg  5769;
candle  36;
candle lantern  4527;
candle lantern  4529;
charcoal  973;
chef's hat  1949;
chisel  1755;
cleaning cloth  3188;
compost  6032;
cooking urn (nr)  20362;
decorated cooking urn (nr)  20374;
decorated fishing urn (nr)  20344;
decorated mining urn (nr)  20404;
dragon hatchet  6739;
dragon pickaxe  15259;
earmuffs  4166;
empty cup  1980;
empty pot  1931;
empty sack  5418;
empty seaweed net  14859;
equipment dissolver  36728;
equipment siphon  36730;
face mask  4164;
fishbowl  6667;
fishing accumulator  36380;
fishing bait  313;
fishing rod  307;
fishing urn (nr)  20332;
fly fishing rod  309;
fragile cooking urn (nr)  20356;
fragile fishing urn (nr)  20326;
fragile mining urn (nr)  20386;
fragile smelting urn (nr)  20278;
fragile woodcutting urn (nr)  20302;
gardening boots  5345;
gardening trowel  5325;
gizmo dissolver  36726;
glassblowing book  11656;
glassblowing pipe  1785;
green firelighter  7330;
hammer  2347;
harpoon  311;
holy mould  1599;
impious urn (nr)  20410;
infernal urn (nr)  20422;
insulated boots  7159;
iron hatchet  1349;
iron pickaxe  1267;
iron spit  7225;
jade machete  6315;
jug  1935;
jug of water  1937;
karambwan vessel  3157;
knife  946;
light orb  10973;
lobster pot  301;
lockpick  1523;
loop half of a key  987;
machete  975;
mining accumulator  36376;
mining helmet  5014;
mining urn (nr)  20392;
mithril hatchet  1355;
mithril pickaxe  1273;
muddy key  991;
necklace mould  1597;
needle  1733;
newcomer map  550;
nose peg  4168;
ogre coffin key  4850;
oil lamp (empty)  4525;
oil lamp (oil)  4522;
oil lantern (empty)  4535;
oil lantern (oil)  4537;
opal machete  6313;
papyrus  970;
pestle and mortar  233;
pie dish  2313;
pie recipe book  7162;
plant pot  5354;
plant pot  5350;
pot lid  4440;
purple firelighter  10326;
rake  5341;
raw swamp paste  1940;
red firelighter  7329;
red topaz machete  6317;
ring mould  1592;
rock hammer  4162;
rope  954;
rune hatchet  1359;
rune pickaxe  1275;
supercompost  6034;
swamp paste  1941;
small fishing net  303;
smelting urn (nr)  20284;
spade  952;
spiny helmet  4551;
steel hatchet  1353;
steel pickaxe  1269;
strong cooking urn (nr)  20368;
strong fishing urn (nr)  20338;
strong mining urn (nr)  20398;
strong smelting urn (nr)  20290;
strong woodcutting urn (nr)  20314;
stronghold notes  9004;
sample bottle  3377;
saw  8794;
secateurs  5329;
security book  9003;
seed dibber  5343;
shadow dye  33296;
shears  1735;
sickle mould  2976;
silk  950;
sinister key  993;
skewer stick  6305;
slayer bell  10952;
third-age dye  33298;
thread  1734;
tiara mould  5523;
tinderbox  590;
tooth half of a key  985;
trading sticks  6306;
unlit bug lantern  7051;
unlit torch  596;
watering can  5331;
waterskin (0)  1831;
waterskin (4)  1823;
white apron  1005;
white firelighter  10327;
woodcutting accumulator  36384;
woodcutting urn (nr)  20308;
